"Übungswort","Beispielsatz"
"dies/dieser","Bist du sicher, dass dies der richtige Ort ist?"
"Mutter","Seine Mutter fährt das Auto in die Garage."
"fehlt","Mir fehlt nichts."
"endlich","Sie haben sich endlich entschieden."
"los","Der Hund läuft los."
"nahm","Er nahm sich viel Zeit für uns."
"rief","Katja rief mir etwas zu."
"ihn","Sie lachten ihn aus."
"kam","Tobias kam uns zur Hilfe."
"geht","Fabian geht einkaufen."
"wenn","Er kauft sich ein Radio, wenn er wieder Geld hat."
"auf einmal","Wir haben alles auf einmal erledigt."
"voll","Die Grube war voll Wasser."
"nächste","Sie bog in die nächste Straße ein."
"nimmt","Dennis nimmt sich ein paar Kekse."
"außen/außer/draußen","Von außen sah der Apfel sehr lecker aus."
"wird","Es wird immer schwieriger."
"nämlich","Sandra hat es uns nämlich nicht gesagt."
"wissen","Alle wissen es."
"kriegt","Jeder kriegt ein Stück Kuchen."
"sah","Jasmin sah mich lachend an."
"man","Konnte man ihnen nicht helfen?"
"Tag","Jeden Tag musste er früh aufstehen."
"immer","Er hat immer die Wahrheit gesagt."
"mehr","Sie haben keine Kraft mehr."
"sagt","Warum sagt er so etwas?"
"kann","Ich kann Laura gut leiden."
"stellt","Manuel stellt den alten Schrank in den Keller."
"Fahrrad","Ich wünsche mir ein blaues Fahrrad."
"ganz","Tobias ist wieder ganz gesund."
"am Abend","Sie sahen am Abend fern."
"bekam","Er bekam viele Geschenke."
"allein","Anika fuhr allein nach Köln."
"fiel","Er fiel die Treppe hinunter."
"isst","Malte isst sich satt."
"ging","Er ging zum Fußballplatz."
"heran/herein/heraus/hinaus/hinein","Der Indianer schlich sich ganz nah an seine Feinde heran."
"hätte","Das hätte auch nichts genützt."
"ihm","Sie half ihm aus dem Mantel."
"kennt","Heidi kennt mich nicht."
"vielleicht","Er hat es vielleicht schon erraten."
"lässt","Toni lässt uns nicht hinein."
"stand","Sie stand vor dem Fenster."
"denn","David fragt nach, denn er hat es nicht verstanden."
"wenig","Sie hat nur wenig Vertrauen zu uns."
"will","Er will es gar nicht wissen."
"Fahrräder","Vor der Schule stehen viele Fahrräder."
"Glas","Sabine hat ein Glas zerbrochen."
"fressen","Kühe fressen Gras."
"Angst","Wovor hat er Angst?"
"erschrocken","Ich war ganz erschrocken."
"liest","Jens liest gerade die Zeitung."
"Mitte","Er stand in der Mitte des Tores."
"anders","Das hat er mir anders erzählt."
"setzen","Wir setzen uns an den Tisch."
"Wald","Das Reh flüchtete in den Wald."
"gucken","Sie gucken uns nicht an."
"Fuß","Er stieß mit dem Fuß gegen einen Stein."
"gewinnt","Wer wagt, der gewinnt."
"hell","Der Mond schien hell."
"vorbei/vorher","Seine beste Zeit ist vorbei."
"zieht","Sie zieht ihn an den Haaren."
"trifft","Wenn er sich Mühe gibt, trifft er auch."
"Stück","Er schnitt ein Stück von der Wurst ab."
"Polizei","Artur möchte zur Polizei."
"nass","Meine Jacke ist ganz nass."
"lustig","Der Film war überhaupt nicht lustig."
"leer","Die Tüte ist leer."
"Katze","Birgit wünscht sich eine Katze."
"Hund","Der Hund bewacht das Haus."
"fraß","Das Zebra fraß mir aus der Hand."
"entdecken","Sie versuchten einen Schatz zu entdecken."
"dritte","Das war schon der dritte Fehler."
"Zahl","Der Schüler schrieb eine Zahl in sein Heft."
"Weg","Der Weg führt durch den Wald."
"vier","Draußen stehen vier Autos."
"ungefähr","Herr Meier ist ungefähr sechzig Jahre alt."
"Tier","Er erzählte etwas von einem Tier."
"Stimme","Die Stimme kommt mir bekannt vor."
"selbst","Sie ist selbst gekommen."
"Schloss","Das Schloss klemmte."
"satt","Wir sind noch lange nicht satt."
"Reihe","Ich stand in der zehnten Reihe."
"Bett","Tim ging erst spät ins Bett."
"nachdem","Er kämmte sich die Haare, nachdem er geduscht hatte."
"beißt","Sie beißt den Faden ab."
"hängt","An der Decke hängt eine Lampe."
"abends","Wir spielen abends manchmal Halma."
"Platz","Neben mir ist noch ein Platz frei."
"offen","Andrea hielt ihre Augen offen."
"niemand","Dort ist niemand."
"liegt","Er liegt auf dem Sofa."
"Jahr","Ein Jahr hat zwölf Monate."
"heißt","Sie heißt Tatjana."
"glücklich/Glück","Sind sie wirklich glücklich?"
"zusammen","Sie haben zusammen gearbeitet."
"verliert","Matthias verliert immer sein Geld."
"traurig","Das Lied, das er sang, war sehr traurig."
"still","Plötzlich war es still."
"rechts","Der Eingang ist rechts."
"Puppe","Die Puppe hat schöne Haare."
"nah","Er kam ganz nah heran."
"passt","Boris passt gut auf."
"ähnlich","Diese Aufgabe geht so ähnlich, wie die vorherige."
"klug","Das war nicht sehr klug von dir."
"Idee","Wer hat eine Idee?"
"Herr","Dort kommt Herr Neumann."
"Hand/Hände","Er hielt mich mit einer Hand fest."
"gesessen","Er hat im Gefängnis gesessen."
"führt","Sie führt uns durch die engen Straßen."
"eigentlich","Was hat er eigentlich angestellt?"
"zehn","Es ist bald zehn Uhr."
"Wetter","Wir hoffen auf besseres Wetter."
"tot","Die Maus ist tot."
"Sohn","Er hat einen Sohn und eine Tochter."
"schrie","Paul schrie, wie am Spieß."
"rund","Der Ball ist rund."
"reißt","Steffen reißt die Tüte auf."
"hinterher","Meist ist man hinterher klüger als vorher."
"Geschäft","Wir traten in das Geschäft ein."
"früh","Es ist noch früh."
"dünn","Er ist dünn, wie eine Bohnenstange."
"Freund","Auf meinen Freund kann ich mich verlassen."
"davon","Man kann krank davon werden."
"braucht","Er braucht etwas Geld."
"außerdem","Es ist kalt und außerdem regnet es."
"Familie","Unsere Familie besteht aus vier Personen."
"Klasse","Patrick geht in die zweite Klasse."
"häufig","Sie war häufig bei uns zu Gast."
"wohnt","Miriam wohnt bei ihren Großeltern."
"Schnee","Überall lag Schnee."
"verbieten","Sie wollten es uns verbieten."
"Uhr","An der Wand hing eine Uhr."
"überall","Wir haben den Ball überall gesucht."
"stoßen","Sie stoßen ihn die Treppe hinunter."
"schimpfen","Sie schimpfen die Kinder aus."
"ruhig","Auf dem Flur ist es ganz ruhig."
"obwohl","Elvira sprach, obwohl ihr keiner zuhörte."
"nennt","Sie nennt ihren Namen nicht."
"las","Der Schüler las einen Satz vor."
"kaputt","Das Auto ist schon lange kaputt."
"geschrieben","Jeremias hat mir einen Brief geschrieben."
"Geld","Sie haben keinen Pfennig Geld."
"erzählt","Andreas erzählt, was er erlebt hat."
"sammelt","Philipp sammelt Briefmarken."
"Decke","Die Katze lag auf einer Decke."
"belohnen","Der Lehrer möchte die fleißigen Schüler belohnen."
"bisher","Es hat ihn bisher nicht gestört."
"Augenblick","Ich habe einen Augenblick nicht aufgepasst."
"drehen","Wir müssen die Birne noch aus der Lampe drehen."
"erklären","Er versuchte, uns die Aufgabe zu erklären."
"falls","Ich helfe dir, falls es nötig ist."
"wohl","Das hat er sich wohl geirrt."
"vergisst","Er vergisst manchmal seine Tasche."
"tief","Das Loch ist noch nicht tief genug."
"Sommer","Im letzten Sommer hat es oft geregnet."
"richtig","Konrad hat alles richtig gemacht."
"links","Margarete steht links neben Jakob."
"Kleid","Ihr Kleid hat einen Fleck."
"Geburtstag","Wann hast du Geburtstag?"
"Fehler","Ich glaube, ich habe einen Fehler gemacht."
"älter","Das Haus war noch älter als ich dachte."
"dabei/dadurch/danach/dazu","Da ist doch nichts dabei."
"Brille","Helena braucht bald eine Brille."
"stecken","Die Rüben stecken in der Erde."
"regnen","Es wird bestimmt nicht regnen."
"schwierig","Das war wirklich schwierig."
"Wasser","Das Wasser ist ganz trübe."
"verstehen","Ich kann dich nicht verstehen."
"spät","Es ist nie zu spät."
"probieren","Sie probieren die neuen Kleider an."
"Schreck","Er konnte vor Schreck nichts sagen."
"Nachmittag","Am Nachmittag schien die Sonne."
"schickt","Heidrun schickt die Kinder weg."
"ändern","Sie versuchte, sich zu ändern."
"Bahn","Lukas stieg in die Bahn ein."
"schließlich","Sie hat es schließlich doch noch versucht."
"Mann","Ich kannte den Mann nicht."
"hungrig","Seid ihr hungrig?"
"Bus","Der Bus war schon weg."
"schafft","Ich glaube, sie schafft es."
"gar kein/gar nicht","Ich habe gar kein Geld."
"Eis","Lisa möchte ein Eis."
"Brief","Sie öffnete den Brief."
"Stuhl","Sabrina setzte sich auf den Stuhl."
"Rad","Das Rad dreht sich nicht mehr."
"wählt","Sie nimmt das Telefon und wählt eine Nummer."
"ängstlich","Sei doch nicht so ängstlich."
"Spaß","Hat es euch Spaß gemacht?"
"Weihnachten","Vielleicht fällt Weihnachten Schnee."
"schmeckt","Das Essen schmeckt wirklich gut."
"Papier","Tom riss das Papier in Streifen."
"kräftig","Der junge Mann sieht recht kräftig aus."
"genommen","Sie hat eine Tablette genommen."
"froh","Wir waren froh, dass er endlich erschien."
"Ferien","Wir freuen uns auf die Ferien."
"dick","Warum ist er so dick?"
"billig","Ich kaufe gerne billig ein."
"Bild","Das Bild zeigt einen Hirsch."
"während","Esther arbeitete, während Timo schlief."
"Tasse","Die Tasse hatte einen Sprung."
"fliegt","Der Vogel fliegt weg."
"ärgern/ärgerlich","Ich glaube, sie wollen uns ärgern."
"bezahlt","Oliver bezahlt an der Kasse."
"schwimmt","Die Ente schwimmt auf dem Teich."
"Erlebnis","Er hatte das Erlebnis schon fast vergessen."
"gießt","Judith gießt sich ein Glas Milch ein."
"Stelle","An dieser Stelle blieb das Auto liegen."
"gesund","Obst und Gemüse sind gesund."
"schiebt","Antonio schiebt sein Fahrrad hinter das Haus."
"Sonne","Die Sonne verschwand hinter den Wolken."
"erschrak","Ich erschrak, als ich ihn sah."
"bitte","Gib mit bitte ein Glas Wasser."
"aufpassen","Wir müssen aufpassen, dass nichts passiert."
"bevor","Ich wusste es schon, bevor er es mir verriet."
"schlimm","Das war wirklich schlimm."
"saß","Sie saß auf einem Stein."
"biegt","Der Halm biegt sich im Wind."
"wahr","Das ist doch nicht wahr."
"gefallen","Der Ausflug hat uns gut gefallen."
"Schluss","Wir müssen bald Schluss machen."
"gelb","Er ist gelb wie eine Zitrone."
"bestimmt","Das ist ihr bestimmt nicht recht."
"zuletzt","Ich war natürlich zuletzt dran."
"fließt","Das Wasser fließt die Wand hinunter."
"Blatt","Elvira malte ein Haus auf ein großes Blatt."
"schrecklich","Die Geschichte hört sich schrecklich an."
"befehlen","Ich will es ihnen nicht befehlen."
"Schuh","Der Schuh drückt."
"weiß","Sein Mantel war weiß."
"Teller","Diana stellte einen Teller auf den Tisch."
"brennt","Draußen brennt es."
"Frieden","Sie möchten in Frieden leben."
"Berg","Wir wohnen oben auf einem Berg."
"Schiff","Daniel fuhr mit dem Schiff nach Amerika."
"messen","Sie messen aus, wie lang der Baum ist."
"spazieren","Die Leute gehen am Fluss entlang spazieren."
"grüßen","Oma lässt herzlich grüßen."
"klettern","Kannst du auf den Baum klettern?"
"bloß","Warum hat er bloß nichts gesagt?"
"gefährlich","Im Urwald ist es gefährlich."
"meistens","Hans glaubt, dass er meistens recht hat."
"Himmel","Der Himmel ist blau."
"Beispiel","Das Beispiel habe ich nicht verstanden."
"besser","Es kann nur noch besser werden."
"paar","Auf dem Tisch lagen ein paar Tomaten."
"aß","Sie aß einen Pfannkuchen."
