der;Gast;
das;Gemüse;
;gern;
das;Geschenk;
das;Gesicht;
das;Glas;
;glauben;
;gleich;
;graben;
das;Gras;
;grau;
;grün;
;gut;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;H h;Meine Notizen
;;
;haben;
der;Hamster;
das;Handy;
;hart;
der;Hase;
das;Haus;
der;Herbst;
das;Herz;
die;Hexe;
;hier;
der ;Himmel ;
die;Hitze;
;hören;
die;Hose;
der;Hund;
der;Hunger;
;husten;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;I i;Meine Notizen
;;
;ich;
;im;
;immer;
;in;
;ins;
die;Insel;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;J j;Meine Notizen
;;
;ja;
die;Jacke;
der;Januar;
der;Juli;
;jung;
der;Junge;
der;Juni;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;K k;Meine Notizen
;;
der;Käse;
die;Karte;
der;Kater;
die;Katze;
;kaufen;
;kennen;
die;Kerze;
;kicken;
das;Kind;
die;Kirche;
die;Kirsche;
das;Kissen;
;klar;
die;Klasse;
;kleben;
das;Kleid;
;klein;
das;Knie;
der;Knopf;
;kochen;
;können;
der;Körper;
der;Koffer;
;kommen;
der;Kopf;
die;Krone;
die;Küche;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;L l;Meine Notizen
;;
;lachen;
die;Lampe;
;lang;
;langsam;
;lassen;
;laufen;
;laut;
;leben;
;lecker;
;leicht;
;leise;
die;Leiter;
;lenken;
;lernen;
;lesen;
das;Licht;
;lieben;
das;Lied;
;liegen;
das;Loch;
der;Löffel;
der;Löwe;
der;Luchs;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;M m;Meine Notizen
;;
;machen;
der;März;
der;Mai;
;malen;
;man;
der;Mantel;
die;Maus;
das;Messer;
der;Meter;
;mich;
die;Milch;
;mir;
;mit;
der;Mittwoch;
;mögen;
der;Montag;
;morgen;
;müssen;
die;Mütze;
die;Muschel;
die;Mutter;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;N n;Meine Notizen
;;
die;Nacht;
die;Nadel;
der;Name;
die;Nase;
;nein;
;neu;
;nie;
;niesen;
der;November;
die;Nudel;
;nun;
;nur;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;O o;Meine Notizen
;;
;ob;
;oben;
;oder;
das;Öl;
;oft;
der;Oktober ;
der;Onkel;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;P p;Meine Notizen
;;
;packen;
das;Papier;
der;Pfeil;
die;Pfote;
der;Pinsel;
das;Pony;
die;Puppe;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;Qu qu;Meine Notizen
;;
;quaken;
der;Qualm;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;R r;Meine Notizen
;;
;raten;
der;Raum;
;rechnen;
;reden;
der;Regen;
;reich ;
die;Reise;
;rennen;
;riechen;
der;Ring;
die;Rose;
;rot;
;rufen;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;S s;Meine Notizen
;;
die;Sache;
die;Säge;
der;Saft;
;sagen;
der;Samstag;
das;Schaf;
die;Schaufel;
die;Schaukel;
;schenken;
die;Schere;
;schicken;
;schlafen;
die;Schlange;
der;Schlitten;
der;Schlüssel;
;schmecken;
die;Schnecke;
;schneiden;
;schön;
;schon;
der;Schrank;
;schreiben;
die;Schule;
;schwarz;
;schwer;
die;Schwester;
;sechs;
die;Seife;
;sein;
die;Seite;
der;September;
;sie;
;singen;
;sinken;
;sitzen;
;so;
die;Socke;
;sollen;
der;Sommer;
die;Sonne;
;;
;;
;S s;Meine Notizen
;;
der;Sonntag;
;sparen;
der;Spaten;
der;Spiegel;
das;Spiel;
;spielen;
die;Spinne;
die;Spitze;
;spülen;
;staunen;
der;Stein;
der;Stempel;
der;Stern;
der;Stiefel;
der;Stift;
;stören;
die;Stufe;
die;Stunde;
;suchen;
die;Suppe;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;T t;Meine Notizen
;;
die;Tafel;
der;Tag;
die;Tante;
die;Tasche;
das;Taxi;
der;Teller;
das;Tier;
der;Tisch;
die;Tochter;
der;Topf;
das;Tor;
der;Traum;
;treffen;
die;Treppe;
die;Tür;
;turnen;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;U u;Meine Notizen
;;
;üben;
;um;
;und;
;uns;
;unten;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;V v;Meine Notizen
;;
die;Vase;
der;Vater;
;viel(-);
;vier;
der;Vogel;
;vom;
;von;
;vor;
der;Vulkan;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;W w;Meine Notizen
;;
;wachsen;
;wann;
;warm;
;warten;
;warum;
;was;
das;Wasser;
der;Weg;
;weich;
;weinen;
;weiß;
;weiter;
;wem;
;wen;
;wer;
;werfen;
das;Wetter;
;wie;
die;Wiese;
;winken;
der;Winter;
;wir;
;wissen;
;wo;
die;Woche;
die;Wolke;
;wollen;
das;Wort;
;wünschen;
der;Würfel;
der;Wurm;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;X x;Meine Notizen
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;Y y;Meine Notizen
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;Z z;Meine Notizen
;;
der;Zaun;
;zeigen;
die;Zeit;
das;Zimmer;
;zu;
;zum;
die;Zunge;
;zur;
